Date,Open,High,Low,Close,Volume,Currency
2021-10-07,3.2755,3.351,3.256,3.3315,58486544,EUR
2021-10-08,3.3245,3.375,3.3245,3.35,42392864,EUR
2021-10-11,3.3375,3.375,3.33,3.349,28272784,EUR
2021-10-12,3.295,3.393,3.28,3.3835,38760656,EUR
2021-10-13,3.361,3.3785,3.2605,3.276,39017776,EUR
2021-10-14,3.31,3.358,3.281,3.281,59288484,EUR
2021-10-15,3.31,3.385,3.308,3.3455,46452284,EUR
2021-10-18,3.345,3.375,3.3195,3.33,87094672,EUR
2021-10-19,3.325,3.38,3.3155,3.3615,51801980,EUR
2021-10-20,3.36,3.376,3.322,3.36,366904992,EUR
2021-10-21,3.332,3.35,3.297,3.3135,97932000,EUR
2021-10-22,3.313,3.342,3.282,3.282,90017000,EUR
2021-10-25,3.3,3.3505,3.2915,3.3185,91583000,EUR
2021-10-26,3.32,3.3745,3.3105,3.3565,39606000,EUR
2021-10-27,3.35,3.3505,3.2245,3.261,66844000,EUR
2021-10-28,3.254,3.3,3.198,3.2805,50598000,EUR
2021-10-29,3.2525,3.2765,3.1875,3.2765,48525000,EUR
2021-11-01,3.28,3.3535,3.2755,3.3435,77143000,EUR
2021-11-02,3.325,3.335,3.2725,3.2945,50786000,EUR
2021-11-03,3.275,3.31,3.236,3.31,306672992,EUR
2021-11-04,3.32,3.327,3.216,3.2375,144544992,EUR
2021-11-05,3.227,3.319,3.215,3.284,84768000,EUR
