,Accion,Cierre,Diferencia,Maximo,Minimo,Volumen,Fecha
0,ACCIONA,157.4,0.25,159.6,156.3,52392,08/11/2021
1,ACERINOX,11.3,0.71,11.4,11.13,2748840,08/11/2021
2,ACS,23.15,-0.69,23.37,22.95,494021,08/11/2021
3,AENA,149.45,-1.19,152.0,149.2,38969,08/11/2021
4,ALMIRALL,12.49,0.81,12.5,12.3,196282,08/11/2021
5,AMADEUS,62.6,1.07,63.0,61.54,514825,08/11/2021
6,ARCELORMIT.,28.835,3.17,29.02,27.975,312894,08/11/2021
7,B.SANTANDER,3.2635,-0.62,3.3,3.252,48613902,08/11/2021
8,BA.SABADELL,0.6726,-0.12,0.6766,0.6636,10957469,08/11/2021
9,BANKINTER,4.969,0.04,5.008,4.943,1695227,08/11/2021
10,BBVA,6.054,0.46,6.089,5.995,12947681,08/11/2021
11,CAIXABANK,2.482,-0.96,2.499,2.467,4322924,08/11/2021
12,CELLNEX,53.44,1.37,53.88,52.76,236351,08/11/2021
13,CIE AUTOMOT.,24.74,0.49,24.78,24.5,117054,08/11/2021
14,ENAGAS,19.895,-0.97,20.22,19.86,1208306,08/11/2021
15,ENDESA,19.685,-1.58,20.09,19.665,474943,08/11/2021
16,FERROVIAL,27.17,-0.84,27.6,27.01,317960,08/11/2021
17,FLUIDRA,34.05,2.87,34.1,33.0,231789,08/11/2021
18,GRIFOLS CL.A,18.395,-0.57,18.73,18.335,539655,08/11/2021
19,IAG,2.079,-0.76,2.134,2.038,13758214,08/11/2021
20,IBERDROLA,10.16,-1.12,10.335,10.15,2522534,08/11/2021
21,INDITEX,31.3,-3.01,32.1,31.27,38603130,08/11/2021
22,INDRA A,10.77,-0.09,10.83,10.69,592118,08/11/2021
23,INM.COLONIAL,8.585,-1.04,8.74,8.545,194383,08/11/2021
24,MAPFRE,1.9275,-0.8,1.94,1.9165,2517652,08/11/2021
25,MELIA HOTELS,6.698,-3.01,6.92,6.644,1526883,08/11/2021
26,MERLIN,9.628,-1.86,9.85,9.594,286693,08/11/2021
27,NATURGY,23.24,-0.6,23.38,23.21,109568,08/11/2021
28,PHARMA MAR,61.54,1.38,62.2,60.64,57424,08/11/2021
29,R.E.C.,18.0,-0.96,18.175,17.95,189309,08/11/2021
30,REPSOL,10.836,0.22,11.022,10.744,3425283,08/11/2021
31,SIEMENS GAME,20.37,8.44,20.64,19.15,2307304,08/11/2021
32,SOLARIA,15.895,1.31,16.155,15.46,437569,08/11/2021
33,TELEFONICA,3.7675,0.04,3.793,3.747,7048655,08/11/2021
34,VISCOFAN,59.05,-0.92,59.6,59.05,16665,08/11/2021
