,Accion,Cierre,Diferencia,Maximo,Minimo,Fecha
0,BA.SABADELL,0.6734,0.57,0.68,0.6658,2021-11-07 21:07:49.106844
1,MAPFRE,1.943,1.52,1.9525,1.895,2021-11-07 21:07:49.136557
2,IAG,2.095,6.13,2.1,1.903,2021-11-07 21:07:49.125938
3,CAIXABANK,2.506,1.58,2.527,2.46,2021-11-07 21:07:49.109256
4,B.SANTANDER,3.284,1.44,3.319,3.215,2021-11-07 21:07:49.106256
5,TELEFONICA,3.766,2.78,3.803,3.648,2021-11-07 21:07:49.148457
6,BANKINTER,4.967,1.82,5.004,4.876,2021-11-07 21:07:49.107462
7,BBVA,6.026,-0.23,6.107,5.997,2021-11-07 21:07:49.108326
8,MELIA HOTELS,6.906,8.18,6.91,6.25,2021-11-07 21:07:49.139110
9,INM.COLONIAL,8.675,2.18,8.7,8.345,2021-11-07 21:07:49.135731
10,MERLIN,9.81,3.57,9.81,9.442,2021-11-07 21:07:49.139724
11,IBERDROLA,10.275,0.69,10.33,10.165,2021-11-07 21:07:49.128830
12,INDRA A,10.78,0.84,10.9,10.64,2021-11-07 21:07:49.132974
13,REPSOL,10.812,0.86,10.878,10.584,2021-11-07 21:07:49.145347
14,ACERINOX,11.22,-1.41,11.48,11.215,2021-11-07 21:07:49.101243
15,ALMIRALL,12.39,-2.21,12.92,12.37,2021-11-07 21:07:49.103863
16,SOLARIA,15.69,-2.09,16.175,15.67,2021-11-07 21:07:49.147341
17,R.E.C.,18.175,-0.3,18.265,18.1,2021-11-07 21:07:49.144232
18,GRIFOLS CL.A,18.5,-1.86,18.85,18.16,2021-11-07 21:07:49.124879
19,SIEMENS GAME,18.785,-3.07,19.395,18.34,2021-11-07 21:07:49.146299
20,ENDESA,20.0,1.19,20.2,19.885,2021-11-07 21:07:49.116040
21,ENAGAS,20.09,0.85,20.18,19.9,2021-11-07 21:07:49.115453
22,ACS,23.31,4.72,23.35,22.15,2021-11-07 21:07:49.102181
23,NATURGY,23.38,0.09,23.56,23.19,2021-11-07 21:07:49.140093
24,CIE AUTOMOT.,24.62,0.9,24.62,24.2,2021-11-07 21:07:49.111265
25,FERROVIAL,27.4,1.33,27.59,26.89,2021-11-07 21:07:49.119885
26,ARCELORMIT.,27.95,-1.64,28.42,27.595,2021-11-07 21:07:49.105507
27,INDITEX,32.27,0.25,32.34,31.76,2021-11-07 21:07:49.131457
28,FLUIDRA,33.1,-0.6,33.55,32.9,2021-11-07 21:07:49.122460
29,CELLNEX,52.72,-1.13,53.64,52.72,2021-11-07 21:07:49.110764
30,VISCOFAN,59.6,-0.17,59.95,59.15,2021-11-07 21:07:49.153665
31,PHARMA MAR,60.7,-1.36,62.74,60.5,2021-11-07 21:07:49.140350
32,AMADEUS,61.94,4.7,62.38,57.26,2021-11-07 21:07:49.104750
33,AENA,151.25,3.6,151.25,145.2,2021-11-07 21:07:49.102843
34,ACCIONA,157.0,-1.32,160.0,155.5,2021-11-07 21:07:49.100376
