Date,Open,High,Low,Close,Volume,Currency
2020-01-02,5.031,5.124,5.021,5.11,11845300,EUR
2020-01-03,5.078,5.078,5.016,5.054,13399200,EUR
2020-01-06,5.0,5.039,4.944,5.032,11340300,EUR
2020-01-07,5.051,5.079,4.983,5.01,10187800,EUR
2020-01-08,4.968,5.069,4.961,5.058,12830900,EUR
2020-01-09,5.096,5.117,5.063,5.08,19150300,EUR
2020-01-10,5.07,5.078,4.997,4.997,12669000,EUR
2020-01-13,4.998,5.004,4.896,4.923,17665400,EUR
2020-01-14,4.913,4.915,4.825,4.859,31267300,EUR
2020-01-15,4.846,4.852,4.771,4.777,18948000,EUR
2020-01-16,4.776,4.826,4.723,4.787,36276900,EUR
2020-01-17,4.819,4.854,4.8,4.806,28092400,EUR
2020-01-20,4.814,4.814,4.75,4.764,9238900,EUR
2020-01-21,4.728,4.765,4.713,4.748,35377400,EUR
2020-01-22,4.747,4.758,4.677,4.698,15589600,EUR
2020-01-23,4.704,4.739,4.631,4.664,29644000,EUR
2020-01-24,4.717,4.746,4.604,4.607,16467500,EUR
2020-01-27,4.554,4.586,4.497,4.532,19359000,EUR
2020-01-28,4.55,4.63,4.508,4.601,15912100,EUR
2020-01-29,4.64,4.692,4.609,4.668,25612300,EUR
2020-01-30,4.619,4.708,4.598,4.708,30488900,EUR
2020-01-31,4.82,4.85,4.65,4.668,31427500,EUR
2020-02-03,4.7,4.718,4.612,4.665,19108200,EUR
2020-02-04,4.7,4.816,4.697,4.785,18494700,EUR
2020-02-05,4.76,4.927,4.755,4.927,39880700,EUR
2020-02-06,4.981,5.137,4.97,5.1,49680200,EUR
2020-02-07,5.08,5.23,5.071,5.227,27160000,EUR
2020-02-10,5.202,5.29,5.197,5.242,27471600,EUR
2020-02-11,5.25,5.282,5.175,5.233,18206400,EUR
2020-02-12,5.25,5.339,5.238,5.329,19493200,EUR
2020-02-13,5.28,5.305,5.192,5.298,21910500,EUR
2020-02-14,5.308,5.313,5.233,5.243,12772500,EUR
2020-02-17,5.248,5.268,5.205,5.228,10321300,EUR
2020-02-18,5.222,5.249,5.159,5.168,15638600,EUR
2020-02-19,5.198,5.21,5.145,5.174,13887800,EUR
2020-02-20,5.159,5.213,5.104,5.104,19876700,EUR
2020-02-21,5.083,5.125,5.05,5.11,22854500,EUR
2020-02-24,5.0,5.0,4.903,4.912,37140200,EUR
2020-02-25,4.95,4.95,4.738,4.754,34672000,EUR
2020-02-26,4.739,4.787,4.629,4.742,32623000,EUR
2020-02-27,4.665,4.697,4.492,4.547,49772000,EUR
2020-02-28,4.42,4.42,4.235,4.335,68805000,EUR
2020-03-02,4.42,4.431,4.142,4.286,41816000,EUR
2020-03-03,4.37,4.454,4.226,4.249,36434000,EUR
2020-03-04,4.278,4.359,4.19,4.327,34587000,EUR
2020-03-05,4.362,4.364,4.094,4.123,36711000,EUR
2020-03-06,4.025,4.088,3.955,4.032,31918000,EUR
2020-03-09,3.75,3.75,3.46,3.499,66366000,EUR
2020-03-10,3.581,3.769,3.412,3.451,49460000,EUR
2020-03-11,3.538,3.715,3.465,3.542,48936000,EUR
2020-03-12,3.341,3.402,2.954,3.008,71569000,EUR
2020-03-13,3.31,3.436,2.949,3.045,44190000,EUR
2020-03-16,2.91,2.98,2.561,2.638,62764000,EUR
2020-03-17,2.881,2.89,2.644,2.82,67533000,EUR
2020-03-18,2.779,2.973,2.66,2.708,44611000,EUR
2020-03-19,2.714,2.84,2.649,2.803,36966000,EUR
2020-03-20,2.924,3.0,2.723,2.886,47093000,EUR
2020-03-23,2.707,2.94,2.69,2.784,28910000,EUR
2020-03-24,2.904,3.091,2.85,3.091,28726000,EUR
2020-03-25,3.389,3.45,3.01,3.263,33887000,EUR
2020-03-26,3.12,3.322,3.094,3.28,19786000,EUR
2020-03-27,3.158,3.2,3.029,3.105,46217000,EUR
2020-03-30,3.04,3.08,2.886,2.92,26931000,EUR
2020-03-31,2.962,2.987,2.836,2.915,37375000,EUR
2020-04-01,2.78,2.798,2.714,2.727,272033984,EUR
2020-04-02,2.75,2.76,2.604,2.674,286126016,EUR
2020-04-03,2.675,2.769,2.64,2.748,38610000,EUR
2020-04-06,2.886,2.995,2.83,2.971,31788000,EUR
