Nombre,Ultimo,Fecha
Índice ITX Inverso X5,"1.022,30",2021-09-26 23:58:13.777594
Índice ITX Inverso X5,"1.022,30",2021-09-27 00:00:27.845389
IBEX 35® Inverso X5,"1.060,00",2021-09-27 00:00:27.841561
IBEX 35® Inverso X5,"1.060,00",2021-09-26 23:58:13.773856
IBEX 35® Energía,"1.228,80",2021-09-26 23:58:13.773410
IBEX 35® Energía,"1.228,80",2021-09-27 00:00:27.841161
I.G.B.V.,"1.270,83",2021-09-26 23:58:13.776645
I.G.B.V.,"1.270,83",2021-09-27 00:00:27.844496
IBEX 35® PutWrite,"1.373,23",2021-09-26 23:58:13.775127
IBEX 35® PutWrite,"1.373,23",2021-09-27 00:00:27.842854
I.BILBAO 2000,"1.406,45",2021-09-26 23:58:13.776596
I.BILBAO 2000,"1.406,45",2021-09-27 00:00:27.844441
IBEX 35® BuyWrite,"1.423,86",2021-09-26 23:58:13.775062
IBEX 35® BuyWrite,"1.423,86",2021-09-27 00:00:27.842800
IBEX 35® Venta de Strangle,"1.440,70",2021-09-27 00:00:27.842960
IBEX 35® Venta de Strangle,"1.440,70",2021-09-26 23:58:13.775283
IBEX 35® Construcción,"1.490,10",2021-09-26 23:58:13.773469
IBEX 35® Construcción,"1.490,10",2021-09-27 00:00:27.841229
Índice SAN Apalancado X5,"1.754,20",2021-09-26 23:58:13.776969
Índice SAN Apalancado X5,"1.754,20",2021-09-27 00:00:27.844836
BCN GLOBAL 100 (Base 1963),"1.766,25",2021-09-26 23:58:13.776294
BCN GLOBAL 100 (Base 1963),"1.766,25",2021-09-27 00:00:27.844069
IBEX Growth Market® All Share,"1.974,00",2021-09-27 00:00:27.843462
IBEX Growth Market® All Share,"1.974,00",2021-09-26 23:58:13.775709
BCN PROFIT-30,"10.523,33",2021-09-27 00:00:27.844194
BCN PROFIT-30,"10.523,33",2021-09-26 23:58:13.776398
FTSE Latibex BRASIL,"11.131,70",2021-09-27 00:00:27.843812
FTSE Latibex BRASIL,"11.131,70",2021-09-26 23:58:13.776034
IBEX SMALL CAP® con Dividendos Netos,"11.948,60",2021-09-27 00:00:27.843351
IBEX SMALL CAP® con Dividendos Netos,"11.948,60",2021-09-26 23:58:13.775606
Índice TEF Inverso X5,"12,70",2021-09-27 00:00:27.845226
Índice TEF Inverso X5,"12,70",2021-09-26 23:58:13.777433
IBEX SMALL CAP® con Dividendos,"12.420,80",2021-09-27 00:00:27.843287
IBEX SMALL CAP® con Dividendos,"12.420,80",2021-09-26 23:58:13.775554
IBEX MEDIUM CAP®,"13.601,50",2021-09-27 00:00:27.840979
IBEX MEDIUM CAP®,"13.601,50",2021-09-26 23:58:13.773104
