Accion,Precio,Fecha
BA.SABADELL,0.6728,2021-10-16 14:48:00.484458
BA.SABADELL,0.6728,2021-10-16 14:47:30.662953
BA.SABADELL,0.6728,2021-10-16 14:57:34.445784
MAPFRE,1.7935,2021-10-16 14:47:30.686249
MAPFRE,1.7935,2021-10-16 14:48:00.511651
MAPFRE,1.7935,2021-10-16 14:57:34.451892
IAG,2.166,2021-10-16 14:47:30.677214
IAG,2.166,2021-10-16 14:48:00.502013
IAG,2.166,2021-10-16 14:57:34.450385
CAIXABANK,2.661,2021-10-16 14:48:00.484866
CAIXABANK,2.661,2021-10-16 14:47:30.665500
CAIXABANK,2.661,2021-10-16 14:57:34.446777
B.SANTANDER,3.3455,2021-10-16 14:57:34.445429
B.SANTANDER,3.3455,2021-10-16 14:47:30.662716
B.SANTANDER,3.3455,2021-10-16 14:48:00.484262
TELEFONICA,3.797,2021-10-16 14:48:00.534536
TELEFONICA,3.797,2021-10-16 14:47:30.699591
TELEFONICA,3.797,2021-10-16 14:57:34.456470
BANKINTER,5.15,2021-10-16 14:47:30.663218
BANKINTER,5.15,2021-10-16 14:57:34.446151
BANKINTER,5.15,2021-10-16 14:48:00.484605
BBVA,5.769,2021-10-16 14:47:30.664738
BBVA,5.769,2021-10-16 14:48:00.484739
BBVA,5.769,2021-10-16 14:57:34.446507
MELIA HOTELS,7.088,2021-10-16 14:47:30.686851
MELIA HOTELS,7.088,2021-10-16 14:48:00.513217
MELIA HOTELS,7.088,2021-10-16 14:57:34.452183
INM.COLONIAL,8.49,2021-10-16 14:48:00.508290
INM.COLONIAL,8.49,2021-10-16 14:47:30.684663
INM.COLONIAL,8.49,2021-10-16 14:57:34.451583
IBERDROLA,9.448,2021-10-16 14:47:30.679551
IBERDROLA,9.448,2021-10-16 14:57:34.450649
IBERDROLA,9.448,2021-10-16 14:48:00.505197
INDRA A,9.47,2021-10-16 14:48:00.507876
INDRA A,9.47,2021-10-16 14:47:30.682697
INDRA A,9.47,2021-10-16 14:57:34.451284
MERLIN,9.508,2021-10-16 14:57:34.452517
MERLIN,9.508,2021-10-16 14:48:00.515231
MERLIN,9.508,2021-10-16 14:47:30.687836
REPSOL,11.58,2021-10-16 14:57:34.454795
REPSOL,11.58,2021-10-16 14:48:00.528491
REPSOL,11.58,2021-10-16 14:47:30.694519
ACERINOX,12.145,2021-10-16 14:57:34.443162
ACERINOX,12.145,2021-10-16 14:47:30.660259
ACERINOX,12.145,2021-10-16 14:48:00.474789
ALMIRALL,12.93,2021-10-16 14:47:30.661942
ALMIRALL,12.93,2021-10-16 14:57:34.443989
ALMIRALL,12.93,2021-10-16 14:48:00.475924
SOLARIA,14.925,2021-10-16 14:48:00.532524
SOLARIA,14.925,2021-10-16 14:47:30.697621
SOLARIA,14.925,2021-10-16 14:57:34.456194
R.E.C.,17.65,2021-10-16 14:48:00.525685
R.E.C.,17.65,2021-10-16 14:47:30.693347
R.E.C.,17.65,2021-10-16 14:57:34.454368
ENDESA,18.66,2021-10-16 14:57:34.448038
ENDESA,18.66,2021-10-16 14:47:30.669849
ENDESA,18.66,2021-10-16 14:48:00.491397
ENAGAS,19.625,2021-10-16 14:57:34.447700
ENAGAS,19.625,2021-10-16 14:48:00.488963
ENAGAS,19.625,2021-10-16 14:47:30.668300
GRIFOLS CL.A,20.5,2021-10-16 14:47:30.675271
GRIFOLS CL.A,20.5,2021-10-16 14:48:00.499699
GRIFOLS CL.A,20.5,2021-10-16 14:57:34.450094
SIEMENS GAME,20.81,2021-10-16 14:57:34.455560
SIEMENS GAME,20.81,2021-10-16 14:47:30.696037
SIEMENS GAME,20.81,2021-10-16 14:48:00.530514
CIE AUTOMOT.,22.44,2021-10-16 14:57:34.447439
CIE AUTOMOT.,22.44,2021-10-16 14:48:00.486694
CIE AUTOMOT.,22.44,2021-10-16 14:47:30.666231
ACS,22.73,2021-10-16 14:48:00.475349
ACS,22.73,2021-10-16 14:57:34.443452
ACS,22.73,2021-10-16 14:47:30.660559
NATURGY,23.25,2021-10-16 14:57:34.453783
NATURGY,23.25,2021-10-16 14:47:30.688984
NATURGY,23.25,2021-10-16 14:48:00.517462
FERROVIAL,26.7,2021-10-16 14:57:34.448407
FERROVIAL,26.7,2021-10-16 14:48:00.494616
FERROVIAL,26.7,2021-10-16 14:47:30.671382
ARCELORMIT.,27.7,2021-10-16 14:48:00.476474
ARCELORMIT.,27.7,2021-10-16 14:47:30.662475
ARCELORMIT.,27.7,2021-10-16 14:57:34.445088
INDITEX,31.15,2021-10-16 14:57:34.450968
INDITEX,31.15,2021-10-16 14:48:00.506602
INDITEX,31.15,2021-10-16 14:47:30.681164
FLUIDRA,35.1,2021-10-16 14:48:00.496257
FLUIDRA,35.1,2021-10-16 14:47:30.673372
FLUIDRA,35.1,2021-10-16 14:57:34.448663
CELLNEX,53.58,2021-10-16 14:57:34.447046
CELLNEX,53.58,2021-10-16 14:47:30.665769
CELLNEX,53.58,2021-10-16 14:48:00.484993
